// Register File in Hex
0000_0000	// R[0]
0000_0001	// R[1]
0000_0002	// R[2]
7777_7777	// R[3]
7F7F_7F7F	// R[4]
F7F7_F7F7	// R[5]
7FFF_FFFF	// R[6]
8000_0000	// R[7]
FFFF_0000	// R[8]
0000_FFFF	// R[9]
0000_0011	// R[10]
0000_0023	// R[11]
0000_0016	// R[12]
0000_0090	// R[13]
0000_0100	// R[14]
0000_0250	// R[15]
0000_0300	// R[16]
0000_0037	// R[17]
0000_0064	// R[18]
0000_0030	// R[19]
0000_0000	// R[20]
0000_0000	// R[21]
0000_0000	// R[22]
0000_0000	// R[23]
0000_0000	// R[24]
0000_0000	// R[25]
0000_0000	// R[26]
0000_0000	// R[27]
0000_0000	// R[28]
0000_0000	// R[29]
FFFF_FFFF	// R[30]
FFFF_FFFF	// R[31]
